"","x","y","SVM.Aspatial","SVM.SDO"
"36",976340.144,-4249360.115,1.20687201077576,1.83099182563989
"37",986340.144,-4249360.115,1.32020800989516,1.82203616239412
"38",996340.144,-4249360.115,1.49058060430427,1.82031053905218
"39",1006340.144,-4249360.115,1.57129187795614,1.80064663424291
"40",1016340.144,-4249360.115,1.16389928606594,1.7583633113707
"41",1026340.144,-4249360.115,1.58672641936166,1.72620599359455
"42",1036340.144,-4249360.115,1.50980540744671,1.68538694731077
"43",1046340.144,-4249360.115,1.41601652777506,1.60971149700694
"44",1056340.144,-4249360.115,1.37407895156549,1.56122058861068
"45",1066340.144,-4249360.115,1.21095840246589,1.52445786392637
"46",1076340.144,-4249360.115,1.4321611131067,1.49451454039406
"47",1086340.144,-4249360.115,1.04551117228167,1.47934275502437
"48",936340.144,-4239360.115,1.25142875708221,1.90939408780066
"49",946340.144,-4239360.115,1.26133328160584,1.91176383601123
"50",956340.144,-4239360.115,1.18910523139936,1.89850558259248
"51",966340.144,-4239360.115,1.15847982460525,1.88210658483885
"52",976340.144,-4239360.115,1.31852088559091,1.87350084986606
"53",986340.144,-4239360.115,1.44418199537163,1.85890521596326
"54",996340.144,-4239360.115,1.46755549702943,1.85538346881203
"55",1006340.144,-4239360.115,1.44618561921778,1.85137131944791
"56",1016340.144,-4239360.115,1.48758206747513,1.83024885886031
"57",1026340.144,-4239360.115,1.44890852428115,1.78601783188024
"58",1036340.144,-4239360.115,1.76093673022528,1.74531207494072
"59",1046340.144,-4239360.115,1.96856994203709,1.68453446371917
"60",1056340.144,-4239360.115,1.85404106446932,1.61524857401778
"61",1066340.144,-4239360.115,1.75582751586784,1.55265640542224
"62",1076340.144,-4239360.115,1.73092341380006,1.51028937572155
"63",1086340.144,-4239360.115,1.60844774845363,1.48832644849868
"64",1096340.144,-4239360.115,1.35376740309878,1.46625135312977
"65",1106340.144,-4239360.115,1.31968205439731,1.45901425690991
"66",1116340.144,-4239360.115,1.63352712529747,1.44170023695491
"67",886340.144,-4229360.115,1.66052028019455,1.92793243914
"68",896340.144,-4229360.115,1.35479940842892,1.93742741275776
"69",906340.144,-4229360.115,1.29735156995841,1.95081151222509
"70",916340.144,-4229360.115,1.39037496292623,1.96064859100598
"71",926340.144,-4229360.115,1.18602872223683,1.96377105398052
"72",936340.144,-4229360.115,1.19414486914096,1.96056407763179
"73",946340.144,-4229360.115,1.14867432951811,1.95241679796287
"74",956340.144,-4229360.115,1.11874433220007,1.94733034130098
"75",966340.144,-4229360.115,1.34294531166761,1.92718011337998
"76",976340.144,-4229360.115,1.1238785525223,1.91011512256329
"77",986340.144,-4229360.115,1.16347277067405,1.90819489625996
"78",996340.144,-4229360.115,1.38869895909462,1.89322312113702
"79",1006340.144,-4229360.115,0.889006710377268,1.89054192150241
"80",1016340.144,-4229360.115,1.45123184503447,1.8774836062785
"81",1026340.144,-4229360.115,1.77374548774296,1.84404629271927
